customer_id,age,income,credit_score,purchased
1,21,73080,592,0
2,68,83937,627,1
3,44,42584,637,1
4,61,43880,801,1
5,68,65044,531,0
6,78,102785,548,1
7,19,90336,770,0
8,19,124234,745,0
9,28,74781,465,1
10,62,22335,622,1
11,35,73439,345,1
12,71,135479,603,0
13,20,53119,833,0
14,71,149053,705,1
15,44,126904,324,1
16,41,100290,403,0
17,71,130320,317,1
18,21,62633,470,1
19,67,135601,608,0
20,40,109697,738,1
21,23,139850,435,0
22,32,24486,461,0
23,34,70935,837,0
24,47,59162,671,1
25,65,29133,493,0
26,25,23925,389,0
27,56,39222,336,0
28,43,88320,734,1
29,59,39887,414,0
30,33,41599,736,0
31,44,88306,315,0
32,27,144114,534,0
33,77,52566,650,0
34,46,47131,816,1
35,43,99252,849,1
36,70,83308,508,0
37,56,29919,656,1
38,59,132018,588,0
39,76,134120,424,0
40,22,137611,537,0
41,58,37878,793,1
42,52,124923,318,0
43,35,119823,345,0
44,44,99712,387,1
45,49,89142,457,0
46,54,22950,386,0
47,18,146377,719,1
48,49,26089,426,0
49,72,102841,502,1
50,78,115824,831,1
51,58,91572,505,1
52,25,27318,599,0
53,33,84470,550,1
54,68,110009,728,0
55,78,123237,754,0
56,46,95639,797,0
57,62,139258,609,1
58,20,90042,766,1
59,74,81078,650,0
60,70,54108,446,1
61,44,114532,305,1
62,32,96333,496,1
63,49,75577,470,1
64,19,21091,426,0
65,40,119781,383,1
66,33,133448,838,0
67,64,99204,763,1
68,63,62658,522,0
69,34,142892,817,1
70,21,56588,554,1
71,18,59460,649,1
72,33,59733,804,1
73,24,20575,849,0
74,58,67249,333,0
75,48,94859,679,1
76,60,80694,655,1
77,33,138869,487,0
78,67,94030,537,0
79,20,27437,727,0
80,29,135240,671,1
81,35,111724,711,0
82,79,65986,478,1
83,63,149658,654,0
84,76,138022,510,1
85,52,140601,496,1
86,40,48224,560,1
87,70,41131,846,0
88,53,29153,494,1
89,78,31439,302,0
90,46,76746,539,1
91,25,89894,798,0
92,34,147565,816,0
93,28,53359,652,1
94,29,119508,567,1
95,75,122487,376,1
96,56,129893,597,0
97,63,122248,664,0
98,34,94669,754,0
99,20,39262,534,0
100,67,45914,370,0
