trial,condition,seconds_total,us_per_call
1,baseline,24.184360,241.8436
1,autolineage,52.511646,525.1165
2,baseline,23.695396,236.9540
2,autolineage,57.232822,572.3282
3,baseline,23.772147,237.7215
3,autolineage,57.538102,575.3810
4,baseline,24.327025,243.2702
4,autolineage,59.432168,594.3217
5,baseline,24.181891,241.8189
5,autolineage,66.384183,663.8418
6,baseline,34.566432,345.6643
6,autolineage,55.045734,550.4573
7,baseline,45.540561,455.4056
7,autolineage,60.815072,608.1507
8,baseline,37.560314,375.6031
8,autolineage,60.923697,609.2370
9,baseline,38.038137,380.3814
9,autolineage,53.020540,530.2054
10,baseline,39.193378,391.9338
10,autolineage,58.858221,588.5822
11,baseline,36.469617,364.6962
11,autolineage,50.747878,507.4788
12,baseline,36.025255,360.2525
12,autolineage,59.857628,598.5763
13,baseline,37.666959,376.6696
13,autolineage,54.088291,540.8829
14,baseline,38.397469,383.9747
14,autolineage,57.358372,573.5837
15,baseline,40.494075,404.9408
15,autolineage,48.548933,485.4893
16,baseline,35.937402,359.3740
16,autolineage,31.888169,318.8817
17,baseline,36.420011,364.2001
17,autolineage,31.434864,314.3486
18,baseline,35.543483,355.4348
18,autolineage,31.199016,311.9902
19,baseline,37.672988,376.7299
19,autolineage,33.651410,336.5141
20,baseline,38.754035,387.5403
20,autolineage,31.271925,312.7192
