trial,condition,us_per_call
1,baseline,255.1764
2,baseline,253.7032
3,baseline,260.1367
4,baseline,261.9232
5,baseline,265.7654
6,baseline,270.9310
7,baseline,267.2822
8,baseline,272.7299
9,baseline,254.2855
10,baseline,264.1949
11,baseline,251.6152
12,baseline,281.2400
13,baseline,255.1551
14,baseline,263.4015
15,baseline,275.5104
1,autolineage,338.2309
2,autolineage,346.2980
3,autolineage,364.6226
4,autolineage,342.0537
5,autolineage,347.8047
6,autolineage,361.8843
7,autolineage,340.1505
8,autolineage,354.3343
9,autolineage,331.4302
10,autolineage,355.9129
11,autolineage,345.4966
12,autolineage,349.7650
13,autolineage,346.7398
14,autolineage,342.9061
15,autolineage,355.2775
